,Date,Symbols,value,error_value,error_ind
9448,2014-10-21,XOM,93.6500015258789,93.6500015258789,0
9449,2014-10-22,XOM,93.12999725341797,93.12999725341797,0
9450,2014-10-23,XOM,94.11000061035156,94.11000061035156,0
9451,2014-10-24,XOM,94.48999786376953,94.48999786376953,0
9452,2014-10-27,XOM,93.70999908447266,93.70999908447266,0
9453,2014-10-28,XOM,95.0999984741211,95.0999984741211,0
9454,2014-10-29,XOM,94.58999633789062,94.58999633789062,0
9455,2014-10-30,XOM,94.44999694824219,94.44999694824219,0
9456,2014-10-31,XOM,96.70999908447266,96.70999908447266,0
9457,2014-11-03,XOM,95.26000213623047,95.26000213623047,0
9458,2014-11-04,XOM,94.5199966430664,94.5199966430664,0
9459,2014-11-05,XOM,95.06999969482422,95.06999969482422,0
9460,2014-11-06,XOM,96.26000213623047,96.26000213623047,0
9461,2014-11-07,XOM,96.58999633789062,96.58999633789062,0
9462,2014-11-10,XOM,96.27999877929688,96.27999877929688,0
9463,2014-11-11,XOM,96.41000366210938,96.41000366210938,0
9464,2014-11-12,XOM,95.37999725341797,95.37999725341797,0
9465,2014-11-13,XOM,94.66000366210938,94.66000366210938,0
9466,2014-11-14,XOM,95.08999633789062,95.08999633789062,0
9467,2014-11-17,XOM,95.11000061035156,95.11000061035156,0
9468,2014-11-18,XOM,94.87000274658203,94.87000274658203,0
9469,2014-11-19,XOM,95.61000061035156,95.61000061035156,0
9470,2014-11-20,XOM,95.81999969482422,95.81999969482422,0
9471,2014-11-21,XOM,96.80999755859375,96.80999755859375,0
9472,2014-11-24,XOM,95.72000122070312,95.72000122070312,0
9473,2014-11-25,XOM,94.77999877929688,94.77999877929688,0
9474,2014-11-26,XOM,94.4800033569336,94.4800033569336,0
9475,2014-11-28,XOM,90.54000091552734,90.54000091552734,0
9476,2014-12-01,XOM,92.3499984741211,92.3499984741211,0
9477,2014-12-02,XOM,94.19000244140625,94.19000244140625,0
